W,X,Y,Gain
3.84e-05,2.4e-06,1.12e-05,56.0535468372437
3.84e-05,2.4e-06,1.048889e-05,56.0146130966956
3.84e-05,2.4e-06,4.8e-06,55.8558009426965
3.84e-05,2.4e-06,5.511111e-06,55.9641715718725
3.84e-05,2.4e-06,6.222222e-06,56.0505519282543
3.84e-05,2.4e-06,6.933333e-06,56.121418609865
3.84e-05,2.4e-06,7.644444e-06,56.1809264676676
3.84e-05,2.4e-06,8.355556e-06,56.2318616402377
3.84e-05,2.4e-06,9.066667e-06,56.2761611943774
3.84e-05,2.4e-06,9.777778e-06,56.3152130584106
3.84e-05,2.755556e-06,1.12e-05,55.9111513147773
3.84e-05,2.755556e-06,1.048889e-05,55.8720011515223
3.84e-05,2.755556e-06,4.8e-06,55.7044539140493
3.84e-05,2.755556e-06,5.511111e-06,55.8143168836092
3.84e-05,2.755556e-06,6.222222e-06,55.9018611033525
3.84e-05,2.755556e-06,6.933333e-06,55.9736560999252
3.84e-05,2.755556e-06,7.644444e-06,56.0339181013993
3.84e-05,2.755556e-06,8.355556e-06,56.085475423803
3.84e-05,2.755556e-06,9.066667e-06,56.1302950589874
3.84e-05,2.755556e-06,9.777778e-06,56.1697867331602
3.84e-05,3.111111e-06,1.12e-05,55.784267232568
3.84e-05,3.111111e-06,1.048889e-05,55.7449265438124
3.84e-05,3.111111e-06,4.8e-06,55.5698119962406
3.84e-05,3.111111e-06,5.511111e-06,55.680969634557
3.84e-05,3.111111e-06,6.222222e-06,55.7695246993125
3.84e-05,3.111111e-06,6.933333e-06,55.8421267878696
3.84e-05,3.111111e-06,7.644444e-06,55.9030450565043
3.84e-05,3.111111e-06,8.355556e-06,55.9551442224748
3.84e-05,3.111111e-06,9.066667e-06,56.0004171256466
3.84e-05,3.111111e-06,9.777778e-06,56.0402923358448
3.84e-05,3.466667e-06,1.12e-05,55.6700890596861
3.84e-05,3.466667e-06,1.048889e-05,55.6305784816701
3.84e-05,3.466667e-06,4.8e-06,55.4488057979672
3.84e-05,3.466667e-06,5.511111e-06,55.5611045874699
3.84e-05,3.466667e-06,6.222222e-06,55.6505514572496
3.84e-05,3.466667e-06,6.933333e-06,55.7238661838226
3.84e-05,3.466667e-06,7.644444e-06,55.7853643453735
3.84e-05,3.466667e-06,8.355556e-06,55.8379426073367
3.84e-05,3.466667e-06,9.066667e-06,55.8836165110705
3.84e-05,3.466667e-06,9.777778e-06,55.923831187633
3.84e-05,3.822222e-06,1.12e-05,55.5664943098067
3.84e-05,3.822222e-06,1.048889e-05,55.5268306320515
3.84e-05,3.822222e-06,4.8e-06,55.3391255086841
3.84e-05,3.822222e-06,5.511111e-06,55.4524431256322
3.84e-05,3.822222e-06,6.222222e-06,55.5426868158452
3.84e-05,3.822222e-06,6.933333e-06,55.6166387156807
3.84e-05,3.822222e-06,7.644444e-06,55.6786556772126
3.84e-05,3.822222e-06,8.355556e-06,55.7316627876573
3.84e-05,3.822222e-06,9.066667e-06,55.7776957958101
3.84e-05,3.822222e-06,9.777778e-06,55.8182145830719
3.84e-05,4.177778e-06,1.12e-05,55.4718406343032
3.84e-05,4.177778e-06,1.048889e-05,55.4320377579806
3.84e-05,4.177778e-06,4.8e-06,55.2389914558404
3.84e-05,4.177778e-06,5.511111e-06,55.3532283543533
3.84e-05,4.177778e-06,6.222222e-06,55.444191476269
3.84e-05,4.177778e-06,6.933333e-06,55.5187189973584
3.84e-05,4.177778e-06,7.644444e-06,55.5812048791153
3.84e-05,4.177778e-06,8.355556e-06,55.6345997757478
3.84e-05,4.177778e-06,9.066667e-06,55.6809576228517
3.84e-05,4.177778e-06,9.777778e-06,55.7217515837972
3.84e-05,4.533333e-06,1.12e-05,55.3848325187285
3.84e-05,4.533333e-06,1.048889e-05,55.3449021262893
3.84e-05,4.533333e-06,4.8e-06,55.1470047263201
3.84e-05,4.533333e-06,5.511111e-06,55.2620784564352
3.84e-05,4.533333e-06,6.222222e-06,55.3536968473761
3.84e-05,4.533333e-06,6.933333e-06,55.4287489095587
3.84e-05,4.533333e-06,7.644444e-06,55.491662282576
3.84e-05,4.533333e-06,8.355556e-06,55.5454108336611
3.84e-05,4.533333e-06,9.066667e-06,55.5920650179412
3.84e-05,4.533333e-06,9.777778e-06,55.6331100684999
3.84e-05,4.888889e-06,1.12e-05,55.3044309459604
3.84e-05,4.888889e-06,1.048889e-05,55.2643829817092
3.84e-05,4.888889e-06,4.8e-06,55.0620466684749
3.84e-05,4.888889e-06,5.511111e-06,55.1778879127198
3.84e-05,4.888889e-06,6.222222e-06,55.2701075823915
3.84e-05,4.888889e-06,6.933333e-06,55.3456411692257
3.84e-05,4.888889e-06,7.644444e-06,55.4089471190192
3.84e-05,4.888889e-06,8.355556e-06,55.4630205407514
3.84e-05,4.888889e-06,9.066667e-06,55.5099470120637
3.84e-05,4.888889e-06,9.777778e-06,55.5512228193117
3.84e-05,5.6e-06,1.12e-05,55.1602124195012
3.84e-05,5.6e-06,1.048889e-05,55.1199528096229
3.84e-05,5.6e-06,4.8e-06,54.909746153612
3.84e-05,5.6e-06,5.511111e-06,55.0269535439187
3.84e-05,5.6e-06,6.222222e-06,55.120244103376
3.84e-05,5.6e-06,6.933333e-06,55.1966357405108
3.84e-05,5.6e-06,7.644444e-06,55.2606415518649
3.84e-05,5.6e-06,8.355556e-06,55.3152943482934
3.84e-05,5.6e-06,9.066667e-06,55.3627065614643
3.84e-05,5.6e-06,9.777778e-06,55.4043941152734
3.84e-05,5.244444e-06,1.12e-05,55.2297896173703
3.84e-05,5.244444e-06,1.048889e-05,55.1896318027592
3.84e-05,5.244444e-06,4.8e-06,54.9832093371451
3.84e-05,5.244444e-06,5.511111e-06,55.0997590676838
3.84e-05,5.244444e-06,6.222222e-06,55.1925340049207
3.84e-05,5.244444e-06,6.933333e-06,55.2685124314477
3.84e-05,5.244444e-06,7.644444e-06,55.3321811634215
3.84e-05,5.244444e-06,8.355556e-06,55.3865548787343
3.84e-05,5.244444e-06,9.066667e-06,55.4337330914304
3.84e-05,5.244444e-06,9.777778e-06,55.4752222775714
4.408889e-05,2.4e-06,1.12e-05,55.8193158497079
4.408889e-05,2.4e-06,1.048889e-05,55.7845016200339
4.408889e-05,2.4e-06,4.8e-06,55.7659973375341
4.408889e-05,2.4e-06,5.511111e-06,55.8650539195931
4.408889e-05,2.4e-06,6.222222e-06,55.9433493907189
4.408889e-05,2.4e-06,6.933333e-06,56.0070842739011
4.408889e-05,2.4e-06,7.644444e-06,56.0602198501368
4.408889e-05,2.4e-06,8.355556e-06,56.1054015114549
4.408889e-05,2.4e-06,9.066667e-06,56.144460908685
4.408889e-05,2.4e-06,9.777778e-06,56.1787050488987
4.408889e-05,2.755556e-06,1.12e-05,55.7166549323763
4.408889e-05,2.755556e-06,1.048889e-05,55.6814870433299
4.408889e-05,2.755556e-06,4.8e-06,55.6484260415504
4.408889e-05,2.755556e-06,5.511111e-06,55.7493348797757
4.408889e-05,2.755556e-06,6.222222e-06,55.8291082619241
4.408889e-05,2.755556e-06,6.933333e-06,55.8940494978237
4.408889e-05,2.755556e-06,7.644444e-06,55.94818828971
4.408889e-05,2.755556e-06,8.355556e-06,55.9942174035144
4.408889e-05,2.755556e-06,9.066667e-06,56.0340023516995
4.408889e-05,2.755556e-06,9.777778e-06,56.0688749889215
4.408889e-05,3.111111e-06,1.12e-05,55.6230754958022
4.408889e-05,3.111111e-06,1.048889e-05,55.5876021897408
4.408889e-05,3.111111e-06,4.8e-06,55.5422035219262
4.408889e-05,3.111111e-06,5.511111e-06,55.6447024935376
4.408889e-05,3.111111e-06,6.222222e-06,55.7257445670026
4.408889e-05,3.111111e-06,6.933333e-06,55.7917212124981
4.408889e-05,3.111111e-06,7.644444e-06,55.8467208383379
4.408889e-05,3.111111e-06,8.355556e-06,55.8934768727911
4.408889e-05,3.111111e-06,9.066667e-06,55.9338839037328
4.408889e-05,3.111111e-06,9.777778e-06,55.9692951294203
4.408889e-05,3.466667e-06,1.12e-05,55.5372987077069
4.408889e-05,3.466667e-06,1.048889e-05,55.5015575382143
4.408889e-05,3.466667e-06,4.8e-06,55.4455033956524
4.408889e-05,3.466667e-06,5.511111e-06,55.5493914115733
4.408889e-05,3.466667e-06,6.222222e-06,55.6315416530114
4.408889e-05,3.466667e-06,6.933333e-06,55.698422551768
4.408889e-05,3.466667e-06,7.644444e-06,55.7541737808537
4.408889e-05,3.466667e-06,8.355556e-06,55.8015642875185
4.408889e-05,3.466667e-06,9.066667e-06,55.842514065362
4.408889e-05,3.466667e-06,9.777778e-06,55.8783949684597
4.408889e-05,3.822222e-06,1.12e-05,55.4582715149643
4.408889e-05,3.822222e-06,1.048889e-05,55.4222924466118
4.408889e-05,3.822222e-06,4.8e-06,55.3568960856032
4.408889e-05,3.822222e-06,5.511111e-06,55.4620145543902
4.408889e-05,3.822222e-06,6.222222e-06,55.5451463519711
4.408889e-05,3.822222e-06,6.933333e-06,55.6128280548864
4.408889e-05,3.822222e-06,7.644444e-06,55.6692447397094
4.408889e-05,3.822222e-06,8.355556e-06,55.7171968201017
4.408889e-05,3.822222e-06,9.066667e-06,55.7586268026965
4.408889e-05,3.822222e-06,9.777778e-06,55.7949230776758
4.408889e-05,4.177778e-06,1.12e-05,55.3851244922007
4.408889e-05,4.177778e-06,1.048889e-05,55.3489319243682
4.408889e-05,4.177778e-06,4.8e-06,55.2752432623605
4.408889e-05,4.177778e-06,5.511111e-06,55.381464258182
4.408889e-05,4.177778e-06,6.222222e-06,55.4654754734838
4.408889e-05,4.177778e-06,6.933333e-06,55.5338745279145
4.408889e-05,4.177778e-06,7.644444e-06,55.5908871790291
4.408889e-05,4.177778e-06,8.355556e-06,55.6393420404753
4.408889e-05,4.177778e-06,9.066667e-06,55.6812017995168
4.408889e-05,4.177778e-06,9.777778e-06,55.7178696725967
4.408889e-05,4.533333e-06,1.12e-05,55.3171356644385
4.408889e-05,4.533333e-06,1.048889e-05,55.2807498050023
4.408889e-05,4.533333e-06,4.8e-06,55.1996248852225
4.408889e-05,4.533333e-06,5.511111e-06,55.3068432688247
4.408889e-05,4.533333e-06,6.222222e-06,55.3916499513536
4.408889e-05,4.533333e-06,6.933333e-06,55.460697765895
4.408889e-05,4.533333e-06,7.644444e-06,55.518249273444
4.408889e-05,4.533333e-06,8.355556e-06,55.5671586046695
4.408889e-05,4.533333e-06,9.066667e-06,55.6094067110811
4.408889e-05,4.533333e-06,9.777778e-06,55.6464102302146
4.408889e-05,4.888889e-06,1.12e-05,55.2537012736181
4.408889e-05,4.888889e-06,1.048889e-05,55.2171391018546
4.408889e-05,4.888889e-06,4.8e-06,55.1292875126261
4.408889e-05,4.888889e-06,5.511111e-06,55.2374154977371
4.408889e-05,4.888889e-06,6.222222e-06,55.3229475494129
4.408889e-05,4.888889e-06,6.933333e-06,55.3925868519956
4.408889e-05,4.888889e-06,7.644444e-06,55.4506295348192
4.408889e-05,4.888889e-06,8.355556e-06,55.4999530065867
4.408889e-05,4.888889e-06,9.066667e-06,55.5425548833691
4.408889e-05,4.888889e-06,9.777778e-06,55.579864050433
4.408889e-05,5.6e-06,1.12e-05,55.138538239704
4.408889e-05,5.6e-06,1.048889e-05,55.1016647526151
4.408889e-05,5.6e-06,4.8e-06,55.0020604579675
4.408889e-05,5.6e-06,5.511111e-06,55.1117954496969
4.408889e-05,5.6e-06,6.222222e-06,55.1986087925773
4.408889e-05,5.6e-06,6.933333e-06,55.269292633867
4.408889e-05,5.6e-06,7.644444e-06,55.3282024262431
4.408889e-05,5.6e-06,8.355556e-06,55.378256725308
4.408889e-05,5.6e-06,9.066667e-06,55.4214826102778
4.408889e-05,5.6e-06,9.777778e-06,55.4593306251697
4.408889e-05,5.244444e-06,1.12e-05,55.1943126808656
4.408889e-05,5.244444e-06,1.048889e-05,55.1575886410778
4.408889e-05,5.244444e-06,4.8e-06,55.0636069041098
4.408889e-05,5.244444e-06,5.511111e-06,55.1725701978854
4.408889e-05,5.244444e-06,6.222222e-06,55.2587682933303
4.408889e-05,5.244444e-06,6.933333e-06,55.328950614891
4.408889e-05,5.244444e-06,7.644444e-06,55.3874441242306
4.408889e-05,5.244444e-06,8.355556e-06,55.4371476140623
4.408889e-05,5.244444e-06,9.066667e-06,55.4800740114882
4.408889e-05,5.244444e-06,9.777778e-06,55.5176634563257
4.977778e-05,2.4e-06,1.12e-05,55.000966790636
4.977778e-05,2.4e-06,1.048889e-05,54.9717805149231
4.977778e-05,2.4e-06,4.8e-06,55.1388924199527
4.977778e-05,2.4e-06,5.511111e-06,55.2262320527173
4.977778e-05,2.4e-06,6.222222e-06,55.2942873378089
4.977778e-05,2.4e-06,6.933333e-06,55.3489360863252
4.977778e-05,2.4e-06,7.644444e-06,55.3939114292206
4.977778e-05,2.4e-06,8.355556e-06,55.4316916724167
4.977778e-05,2.4e-06,9.066667e-06,55.4639825281828
4.977778e-05,2.4e-06,9.777778e-06,55.4919937808015
4.977778e-05,2.755556e-06,1.12e-05,54.9689254246645
4.977778e-05,2.755556e-06,1.048889e-05,54.9391312841293
4.977778e-05,2.755556e-06,4.8e-06,55.081395093396
4.977778e-05,2.755556e-06,5.511111e-06,55.1712165017995
4.977778e-05,2.755556e-06,6.222222e-06,55.2413002287479
4.977778e-05,2.755556e-06,6.933333e-06,55.2976437627864
4.977778e-05,2.755556e-06,7.644444e-06,55.3440607244347
4.977778e-05,2.755556e-06,8.355556e-06,55.3830857013468
4.977778e-05,2.755556e-06,9.066667e-06,55.4164650216826
4.977778e-05,2.755556e-06,9.777778e-06,55.4454385555817
4.977778e-05,3.111111e-06,1.12e-05,54.9341813780028
4.977778e-05,3.111111e-06,1.048889e-05,54.9038688872675
4.977778e-05,3.111111e-06,4.8e-06,55.0253510278503
4.977778e-05,3.111111e-06,5.511111e-06,55.1172795668715
4.977778e-05,3.111111e-06,6.222222e-06,55.1890842071876
4.977778e-05,3.111111e-06,6.933333e-06,55.246864457526
4.977778e-05,3.111111e-06,7.644444e-06,55.2945025421203
4.977778e-05,3.111111e-06,8.355556e-06,55.3345810140498
4.977778e-05,3.111111e-06,9.066667e-06,55.3688808131211
4.977778e-05,3.111111e-06,9.777778e-06,55.3986674460993
4.977778e-05,3.466667e-06,1.12e-05,54.8983060495889
4.977778e-05,3.466667e-06,1.048889e-05,54.8675441485236
4.977778e-05,3.466667e-06,4.8e-06,54.9712964897777
4.977778e-05,3.466667e-06,5.511111e-06,55.0650474423409
4.977778e-05,3.466667e-06,6.222222e-06,55.1383394015072
4.977778e-05,3.466667e-06,6.933333e-06,55.1973604427999
4.977778e-05,3.466667e-06,7.644444e-06,55.2460523394977
4.977778e-05,3.466667e-06,8.355556e-06,55.2870392748752
4.977778e-05,3.466667e-06,9.066667e-06,55.3221322264749
4.977778e-05,3.466667e-06,9.777778e-06,55.3526189484178
4.977778e-05,3.822222e-06,1.12e-05,54.8622311079216
4.977778e-05,3.822222e-06,1.048889e-05,54.8310742898058
4.977778e-05,3.822222e-06,4.8e-06,54.9194571040243
4.977778e-05,3.822222e-06,5.511111e-06,55.0148078376344
4.977778e-05,3.822222e-06,6.222222e-06,55.0894045402233
4.977778e-05,3.822222e-06,6.933333e-06,55.1495133100767
