W,X,Y,Gain,ugf,pm
3.84e-05,2.4e-06,1.12e-05,56.0535468372437,124811432.2972166,67.56629286153888
3.84e-05,2.4e-06,1.048889e-05,56.0146130966956,123553970.3565026,67.98904903310677
3.84e-05,2.4e-06,4.8e-06,55.8558009426965,102908988.3372042,73.23731888752417
3.84e-05,2.4e-06,5.511111e-06,55.9641715718725,106833230.8491979,72.4807003456541
3.84e-05,2.4e-06,6.222222e-06,56.0505519282543,109966520.884771,71.81602271767817
3.84e-05,2.4e-06,6.933333e-06,56.121418609865,112536068.8524185,71.22088606014044
3.84e-05,2.4e-06,7.644444e-06,56.1809264676676,114688035.6115588,70.67989346776164
3.84e-05,2.4e-06,8.355556e-06,56.2318616402377,116520980.9327859,70.18207616176704
3.84e-05,2.4e-06,9.066667e-06,56.2761611943774,118103944.4261507,69.71938599114225
3.84e-05,2.4e-06,9.777778e-06,56.3152130584106,119486830.8957789,69.28576958539692
3.84e-05,2.755556e-06,1.12e-05,55.9111513147773,128548986.4084425,67.61973288434801
3.84e-05,2.755556e-06,1.048889e-05,55.8720011515223,127312718.1701658,68.06018024966944
3.84e-05,2.755556e-06,4.8e-06,55.7044539140493,106941938.0188436,73.52808236307668
3.84e-05,2.755556e-06,5.511111e-06,55.8143168836092,110823125.0345966,72.73272855505103
3.84e-05,2.755556e-06,6.222222e-06,55.9018611033525,113920100.2645828,72.03519388918306
3.84e-05,2.755556e-06,6.933333e-06,55.9736560999252,116458305.5858422,71.41166198207513
3.84e-05,2.755556e-06,7.644444e-06,56.0339181013993,118582729.672829,70.84575369075478
3.84e-05,2.755556e-06,8.355556e-06,56.085475423803,120391121.3766101,70.32579591539162
3.84e-05,2.755556e-06,9.066667e-06,56.1302950589874,121951939.1390855,69.84322125438594
3.84e-05,2.755556e-06,9.777778e-06,56.1697867331602,123314658.7146172,69.39158445783038
3.84e-05,3.111111e-06,1.12e-05,55.784267232568,131687081.8468973,67.62207150897162
3.84e-05,3.111111e-06,1.048889e-05,55.7449265438124,130468095.7231728,68.07851603039204
3.84e-05,3.111111e-06,4.8e-06,55.5698119962406,110313656.7163773,73.74653348545044
3.84e-05,3.111111e-06,5.511111e-06,55.680969634557,114160617.3005033,72.91598523659387
3.84e-05,3.111111e-06,6.222222e-06,55.7695246993125,117228640.4507938,72.18859855823351
3.84e-05,3.111111e-06,6.933333e-06,55.8421267878696,119741790.1897029,71.53927083735621
3.84e-05,3.111111e-06,7.644444e-06,55.9030450565043,121844140.3227477,70.95073040912338
3.84e-05,3.111111e-06,8.355556e-06,55.9551442224748,123632805.9420133,70.41066388126828
3.84e-05,3.111111e-06,9.066667e-06,56.0004171256466,125175790.8082317,69.91003163989792
3.84e-05,3.111111e-06,9.777778e-06,56.0402923358448,126522234.7164018,69.44203196155554
3.84e-05,3.466667e-06,1.12e-05,55.6700890596861,134379145.6159569,67.58956987938242
3.84e-05,3.466667e-06,1.048889e-05,55.6305784816701,133174607.4194836,68.06060775917815
