a,b,c,d,gain
1.12e-05,0.000132012,2.4e-06,3.84e-05,18.74271131
1.12e-05,0.000132012,2.4e-06,4.27e-05,20.02248574
1.12e-05,0.000132012,2.4e-06,4.69e-05,21.22020012
1.12e-05,0.000132012,2.4e-06,5.12e-05,22.35505266
1.12e-05,0.000132012,2.4e-06,5.55e-05,23.44379632
1.12e-05,0.000132012,2.4e-06,5.97e-05,24.50001271
1.12e-05,0.000132012,2.4e-06,6.4e-05,25.5331233
1.12e-05,0.000132012,2.4e-06,6.83e-05,26.55894874
1.12e-05,0.000132012,2.4e-06,7.25e-05,27.58264294
1.12e-05,0.000132012,2.4e-06,7.68e-05,28.6161588
1.12e-05,0.000132012,2.4e-06,8.11e-05,29.67052875
1.12e-05,0.000132012,2.4e-06,8.53e-05,30.75757341
1.12e-05,0.000132012,2.4e-06,8.96e-05,31.88821031
1.12e-05,0.000132012,2.666667e-06,3.84e-05,18.35747708
1.12e-05,0.000132012,2.666667e-06,4.27e-05,19.64060375
1.12e-05,0.000132012,2.666667e-06,4.69e-05,20.84370336
1.12e-05,0.000132012,2.666667e-06,5.12e-05,21.98427639
1.12e-05,0.000132012,2.666667e-06,5.55e-05,23.07941424
1.12e-05,0.000132012,2.666667e-06,5.97e-05,24.14302613
1.12e-05,0.000132012,2.666667e-06,6.4e-05,25.18445379
1.12e-05,0.000132012,2.666667e-06,6.83e-05,26.22096655
1.12e-05,0.000132012,2.666667e-06,7.25e-05,27.25660611
1.12e-05,0.000132012,2.666667e-06,7.68e-05,28.30407643
1.12e-05,0.000132012,2.666667e-06,8.11e-05,29.37498555
1.12e-05,0.000132012,2.666667e-06,8.53e-05,30.48239733
1.12e-05,0.000132012,2.666667e-06,8.96e-05,31.63618023
1.12e-05,0.000132012,2.933333e-06,3.84e-05,17.89325756
1.12e-05,0.000132012,2.933333e-06,4.27e-05,19.18265241
1.12e-05,0.000132012,2.933333e-06,4.69e-05,20.39080061
1.12e-05,0.000132012,2.933333e-06,5.12e-05,21.53854439
1.12e-05,0.000132012,2.933333e-06,5.55e-05,22.64205189
1.12e-05,0.000132012,2.933333e-06,5.97e-05,23.71521667
1.12e-05,0.000132012,2.933333e-06,6.4e-05,24.76744439
1.12e-05,0.000132012,2.933333e-06,6.83e-05,25.81745874
1.12e-05,0.000132012,2.933333e-06,7.25e-05,26.86823721
1.12e-05,0.000132012,2.933333e-06,7.68e-05,27.93320634
1.12e-05,0.000132012,2.933333e-06,8.11e-05,29.02482317
1.12e-05,0.000132012,2.933333e-06,8.53e-05,30.1573431
1.12e-05,0.000132012,2.933333e-06,8.96e-05,31.3531192
1.12e-05,0.000132012,3.2e-06,3.84e-05,17.31184735
1.12e-05,0.000132012,3.2e-06,4.27e-05,18.60858186
1.12e-05,0.000132012,3.2e-06,4.69e-05,19.82473032
1.12e-05,0.000132012,3.2e-06,5.12e-05,20.98191391
1.12e-05,0.000132012,3.2e-06,5.55e-05,22.0972222
1.12e-05,0.000132012,3.2e-06,5.97e-05,23.18335743
1.12e-05,0.000132012,3.2e-06,6.4e-05,24.2506797
1.12e-05,0.000132012,3.2e-06,6.83e-05,25.31831099
1.12e-05,0.000132012,3.2e-06,7.25e-05,26.38913
1.12e-05,0.000132012,3.2e-06,7.68e-05,27.47671858
1.12e-05,0.000132012,3.2e-06,8.11e-05,28.60364615
1.12e-05,0.000132012,3.2e-06,8.53e-05,29.77270419
1.12e-05,0.000132012,3.2e-06,8.96e-05,31.00534811
1.12e-05,0.000132012,3.466667e-06,3.84e-05,8.943596846
1.12e-05,0.000132012,3.466667e-06,4.27e-05,10.03212576
1.12e-05,0.000132012,3.466667e-06,4.69e-05,11.01661307
1.12e-05,0.000132012,3.466667e-06,5.12e-05,11.91692772
1.12e-05,0.000132012,3.466667e-06,5.55e-05,12.74778388
1.12e-05,0.000132012,3.466667e-06,5.97e-05,13.52043927
1.12e-05,0.000132012,3.466667e-06,6.4e-05,14.24386492
1.12e-05,0.000132012,3.466667e-06,6.83e-05,14.92478148
1.12e-05,0.000132012,3.466667e-06,7.25e-05,15.56892609
1.12e-05,0.000132012,3.466667e-06,7.68e-05,16.18094633
1.12e-05,0.000132012,3.466667e-06,8.11e-05,16.76468323
1.12e-05,0.000132012,3.466667e-06,8.53e-05,17.32337948
1.12e-05,0.000132012,3.466667e-06,8.96e-05,17.85979103
1.12e-05,0.000132012,3.733333e-06,3.84e-05,8.24665238
1.12e-05,0.000132012,3.733333e-06,4.27e-05,9.335406268
1.12e-05,0.000132012,3.733333e-06,4.69e-05,10.32068334
1.12e-05,0.000132012,3.733333e-06,5.12e-05,11.22183795
1.12e-05,0.000132012,3.733333e-06,5.55e-05,12.05300602
1.12e-05,0.000132012,3.733333e-06,5.97e-05,12.82753195
1.12e-05,0.000132012,3.733333e-06,6.4e-05,13.55225039
1.12e-05,0.000132012,3.733333e-06,6.83e-05,14.2345597
1.12e-05,0.000132012,3.733333e-06,7.25e-05,14.88020062
1.12e-05,0.000132012,3.733333e-06,7.68e-05,15.49390744
1.12e-05,0.000132012,3.733333e-06,8.11e-05,16.0794407
1.12e-05,0.000132012,3.733333e-06,8.53e-05,16.64004408
1.12e-05,0.000132012,3.733333e-06,8.96e-05,17.17847523
1.12e-05,0.000132012,4.8e-06,3.84e-05,7.311622943
1.12e-05,0.000132012,4.8e-06,4.27e-05,8.401371667
1.12e-05,0.000132012,4.8e-06,4.69e-05,9.387662885
1.12e-05,0.000132012,4.8e-06,5.12e-05,10.29028678
1.12e-05,0.000132012,4.8e-06,5.55e-05,11.12379177
1.12e-05,0.000132012,4.8e-06,5.97e-05,11.89961114
1.12e-05,0.000132012,4.8e-06,6.4e-05,12.62636371
1.12e-05,0.000132012,4.8e-06,6.83e-05,13.31074201
1.12e-05,0.000132012,4.8e-06,7.25e-05,13.95819267
1.12e-05,0.000132012,4.8e-06,7.68e-05,14.57469089
1.12e-05,0.000132012,4.8e-06,8.11e-05,15.16313335
1.12e-05,0.000132012,4.8e-06,8.53e-05,15.72677266
1.12e-05,0.000132012,4.8e-06,8.96e-05,16.26837692
1.12e-05,0.000132012,4.266667e-06,3.84e-05,7.724579238
1.12e-05,0.000132012,4.266667e-06,4.27e-05,8.813172662
1.12e-05,0.000132012,4.266667e-06,4.69e-05,9.79964269
1.12e-05,0.000132012,4.266667e-06,5.12e-05,10.70156282
1.12e-05,0.000132012,4.266667e-06,5.55e-05,11.53408295
1.12e-05,0.000132012,4.266667e-06,5.97e-05,12.30918753
1.12e-05,0.000132012,4.266667e-06,6.4e-05,13.03499586
1.12e-05,0.000132012,4.266667e-06,6.83e-05,13.71844305
1.12e-05,0.000132012,4.266667e-06,7.25e-05,14.36520941
1.12e-05,0.000132012,4.266667e-06,7.68e-05,14.98037725
1.12e-05,0.000132012,4.266667e-06,8.11e-05,15.56744539
1.12e-05,0.000132012,4.266667e-06,8.53e-05,16.12966144
1.12e-05,0.000132012,4.266667e-06,8.96e-05,16.66978686
1.12e-05,0.000132012,4.533333e-06,3.84e-05,7.078997588
1.12e-05,0.000132012,4.533333e-06,4.27e-05,8.169048853
1.12e-05,0.000132012,4.533333e-06,4.69e-05,9.15564979
1.12e-05,0.000132012,4.533333e-06,5.12e-05,10.05872846
1.12e-05,0.000132012,4.533333e-06,5.55e-05,10.89276366
1.12e-05,0.000132012,4.533333e-06,5.97e-05,11.66907413
1.12e-05,0.000132012,4.533333e-06,6.4e-05,12.39639411
1.12e-05,0.000132012,4.533333e-06,6.83e-05,13.08130231
1.12e-05,0.000132012,4.533333e-06,7.25e-05,13.72890157
1.12e-05,0.000132012,4.533333e-06,7.68e-05,14.34625581
1.12e-05,0.000132012,4.533333e-06,8.11e-05,14.93556465
1.12e-05,0.000132012,4.533333e-06,8.53e-05,15.50008522
1.12e-05,0.000132012,4.533333e-06,8.96e-05,16.04259404
1.12e-05,0.000132012,4e-06,3.84e-05,36.87881435
1.12e-05,0.000132012,4e-06,4.27e-05,41.8930602
1.12e-05,0.000132012,4e-06,4.69e-05,46.808501
1.12e-05,0.000132012,4e-06,5.12e-05,50.2190822
1.12e-05,0.000132012,4e-06,5.55e-05,52.41700525
