a,b,c,d,gain
1.12e-05,0.000132012,2.4e-06,3.84e-05,19.21812084
1.12e-05,0.000132012,2.4e-06,4.27e-05,20.49360866
1.12e-05,0.000132012,2.4e-06,4.69e-05,21.68499808
1.12e-05,0.000132012,2.4e-06,5.12e-05,22.81313121
1.12e-05,0.000132012,2.4e-06,5.55e-05,23.89518272
1.12e-05,0.000132012,2.4e-06,5.97e-05,24.94289475
1.12e-05,0.000132012,2.4e-06,6.4e-05,25.96636134
1.12e-05,0.000132012,2.4e-06,6.83e-05,26.97975271
1.12e-05,0.000132012,2.4e-06,7.25e-05,27.98948913
1.12e-05,0.000132012,2.4e-06,7.68e-05,29.00659603
1.12e-05,0.000132012,2.4e-06,8.11e-05,30.04149058
1.12e-05,0.000132012,2.4e-06,8.53e-05,31.10491732
1.12e-05,0.000132012,2.4e-06,8.96e-05,32.20925323
1.12e-05,0.000132012,2.4e-06,3.84e-05,18.96686726
1.12e-05,0.000132012,2.4e-06,4.27e-05,20.24461193
1.12e-05,0.000132012,2.4e-06,4.69e-05,21.43788892
1.12e-05,0.000132012,2.4e-06,5.12e-05,22.57100122
1.12e-05,0.000132012,2.4e-06,5.55e-05,23.65639378
1.12e-05,0.000132012,2.4e-06,5.97e-05,24.70851847
1.12e-05,0.000132012,2.4e-06,6.4e-05,25.73700555
1.12e-05,0.000132012,2.4e-06,6.83e-05,26.75686055
1.12e-05,0.000132012,2.4e-06,7.25e-05,27.77386623
1.12e-05,0.000132012,2.4e-06,7.68e-05,28.7995299
1.12e-05,0.000132012,2.4e-06,8.11e-05,29.84458384
1.12e-05,0.000132012,2.4e-06,8.53e-05,30.92025109
1.12e-05,0.000132012,2.4e-06,8.96e-05,32.0380633
1.12e-05,0.000132012,2.666667e-06,3.84e-05,18.54080633
1.12e-05,0.000132012,2.666667e-06,4.27e-05,19.82237809
1.12e-05,0.000132012,2.666667e-06,4.69e-05,21.02280143
1.12e-05,0.000132012,2.666667e-06,5.12e-05,22.16065117
1.12e-05,0.000132012,2.666667e-06,5.55e-05,23.25266232
1.12e-05,0.000132012,2.666667e-06,5.97e-05,24.31269598
1.12e-05,0.000132012,2.666667e-06,6.4e-05,25.35010212
