a,b,c,d,pm
1.12e-05,0.000132012,2.4e-06,3.84e-05,87.25892675
1.12e-05,0.000132012,2.4e-06,4.27e-05,88.48425649
1.12e-05,0.000132012,2.4e-06,4.69e-05,89.62407255
1.12e-05,0.000132012,2.4e-06,5.12e-05,90.90816184
1.12e-05,0.000132012,2.4e-06,5.55e-05,92.11969459
1.12e-05,0.000132012,2.4e-06,5.97e-05,93.18546752
1.12e-05,0.000132012,2.4e-06,6.4e-05,94.13902737
1.12e-05,0.000132012,2.4e-06,6.83e-05,94.7999845
1.12e-05,0.000132012,2.4e-06,7.25e-05,95.02511744
1.12e-05,0.000132012,2.4e-06,7.68e-05,95.01821047
1.12e-05,0.000132012,2.4e-06,8.11e-05,94.80062339
1.12e-05,0.000132012,2.4e-06,8.53e-05,94.09516189
1.12e-05,0.000132012,2.4e-06,8.96e-05,92.45045759
1.12e-05,0.000132012,2.666667e-06,3.84e-05,88.75406112
1.12e-05,0.000132012,2.666667e-06,4.27e-05,89.93456528
1.12e-05,0.000132012,2.666667e-06,4.69e-05,91.03439531
1.12e-05,0.000132012,2.666667e-06,5.12e-05,92.27173687
1.12e-05,0.000132012,2.666667e-06,5.55e-05,93.45728779
1.12e-05,0.000132012,2.666667e-06,5.97e-05,94.50429522
1.12e-05,0.000132012,2.666667e-06,6.4e-05,95.44508946
1.12e-05,0.000132012,2.666667e-06,6.83e-05,96.03102689
1.12e-05,0.000132012,2.666667e-06,7.25e-05,96.19394027
1.12e-05,0.000132012,2.666667e-06,7.68e-05,96.12415433
1.12e-05,0.000132012,2.666667e-06,8.11e-05,95.84085376
1.12e-05,0.000132012,2.666667e-06,8.53e-05,94.72915124
1.12e-05,0.000132012,2.666667e-06,8.96e-05,92.85888036
1.12e-05,0.000132012,2.933333e-06,3.84e-05,90.49933619
1.12e-05,0.000132012,2.933333e-06,4.27e-05,91.62569989
1.12e-05,0.000132012,2.933333e-06,4.69e-05,92.68448998
1.12e-05,0.000132012,2.933333e-06,5.12e-05,93.86828396
1.12e-05,0.000132012,2.933333e-06,5.55e-05,95.02784605
1.12e-05,0.000132012,2.933333e-06,5.97e-05,96.05723285
1.12e-05,0.000132012,2.933333e-06,6.4e-05,96.98710578
1.12e-05,0.000132012,2.933333e-06,6.83e-05,97.48730048
1.12e-05,0.000132012,2.933333e-06,7.25e-05,97.58315739
1.12e-05,0.000132012,2.933333e-06,7.68e-05,97.44473166
1.12e-05,0.000132012,2.933333e-06,8.11e-05,97.08820895
1.12e-05,0.000132012,2.933333e-06,8.53e-05,95.43631928
1.12e-05,0.000132012,2.933333e-06,8.96e-05,93.25738442
1.12e-05,0.000132012,3.2e-06,3.84e-05,92.60427995
