a,b,c,d,ugf
1.12e-05,0.000132012,2.4e-06,3.84e-05,12859450.19
1.12e-05,0.000132012,2.4e-06,4.27e-05,14297892.05
1.12e-05,0.000132012,2.4e-06,4.69e-05,15512936.51
1.12e-05,0.000132012,2.4e-06,5.12e-05,17467633.46
1.12e-05,0.000132012,2.4e-06,5.55e-05,19572012.89
1.12e-05,0.000132012,2.4e-06,5.97e-05,21450191.54
1.12e-05,0.000132012,2.4e-06,6.4e-05,23138031.94
1.12e-05,0.000132012,2.4e-06,6.83e-05,25564812.56
1.12e-05,0.000132012,2.4e-06,7.25e-05,28797869.38
1.12e-05,0.000132012,2.4e-06,7.68e-05,31772708.13
1.12e-05,0.000132012,2.4e-06,8.11e-05,34523171.51
1.12e-05,0.000132012,2.4e-06,8.53e-05,37849177.87
1.12e-05,0.000132012,2.4e-06,8.96e-05,42558855.66
1.12e-05,0.000132012,2.666667e-06,3.84e-05,12725609.72
1.12e-05,0.000132012,2.666667e-06,4.27e-05,14209209.47
1.12e-05,0.000132012,2.666667e-06,4.69e-05,15461767.88
1.12e-05,0.000132012,2.666667e-06,5.12e-05,17424361.91
1.12e-05,0.000132012,2.666667e-06,5.55e-05,19592777.43
1.12e-05,0.000132012,2.666667e-06,5.97e-05,21526289.27
1.12e-05,0.000132012,2.666667e-06,6.4e-05,23262011.09
1.12e-05,0.000132012,2.666667e-06,6.83e-05,25959288.41
1.12e-05,0.000132012,2.666667e-06,7.25e-05,29295126.55
1.12e-05,0.000132012,2.666667e-06,7.68e-05,32362432.58
1.12e-05,0.000132012,2.666667e-06,8.11e-05,35196461.3
1.12e-05,0.000132012,2.666667e-06,8.53e-05,39354449.19
1.12e-05,0.000132012,2.666667e-06,8.96e-05,44190465.19
1.12e-05,0.000132012,2.933333e-06,3.84e-05,12546347.58
1.12e-05,0.000132012,2.933333e-06,4.27e-05,14088324.94
1.12e-05,0.000132012,2.933333e-06,4.69e-05,15386282.26
1.12e-05,0.000132012,2.933333e-06,5.12e-05,17343612.64
1.12e-05,0.000132012,2.933333e-06,5.55e-05,19592962.94
1.12e-05,0.000132012,2.933333e-06,5.97e-05,21596352.36
1.12e-05,0.000132012,2.933333e-06,6.4e-05,23392657.51
1.12e-05,0.000132012,2.933333e-06,6.83e-05,26401544.92
1.12e-05,0.000132012,2.933333e-06,7.25e-05,29867903.18
1.12e-05,0.000132012,2.933333e-06,7.68e-05,33052097.27
1.12e-05,0.000132012,2.933333e-06,8.11e-05,35991486.0
1.12e-05,0.000132012,2.933333e-06,8.53e-05,41150375.31
1.12e-05,0.000132012,2.933333e-06,8.96e-05,46177294.78
1.12e-05,0.000132012,3.2e-06,3.84e-05,12296574.47
