a,b,c,d,ugf
1.12e-05,0.000132012,2.4e-06,3.84e-05,13004823.7
1.12e-05,0.000132012,2.4e-06,4.27e-05,14389267.27
1.12e-05,0.000132012,2.4e-06,4.69e-05,15560052.61
1.12e-05,0.000132012,2.4e-06,5.12e-05,17487860.56
1.12e-05,0.000132012,2.4e-06,5.55e-05,19517781.98
1.12e-05,0.000132012,2.4e-06,5.97e-05,21330874.74
1.12e-05,0.000132012,2.4e-06,6.4e-05,22962364.13
1.12e-05,0.000132012,2.4e-06,6.83e-05,25036822.75
1.12e-05,0.000132012,2.4e-06,7.25e-05,28150012.75
1.12e-05,0.000132012,2.4e-06,7.68e-05,31016649.37
1.12e-05,0.000132012,2.4e-06,8.11e-05,33669065.75
1.12e-05,0.000132012,2.4e-06,8.53e-05,36133361.52
1.12e-05,0.000132012,2.4e-06,8.96e-05,40525803.65
1.12e-05,0.000132012,2.4e-06,3.84e-05,12930777.43
1.12e-05,0.000132012,2.4e-06,4.27e-05,14343496.06
1.12e-05,0.000132012,2.4e-06,4.69e-05,15536351.64
1.12e-05,0.000132012,2.4e-06,5.12e-05,17481919.76
1.12e-05,0.000132012,2.4e-06,5.55e-05,19550530.79
1.12e-05,0.000132012,2.4e-06,5.97e-05,21397590.88
1.12e-05,0.000132012,2.4e-06,6.4e-05,23058497.92
1.12e-05,0.000132012,2.4e-06,6.83e-05,25321909.41
1.12e-05,0.000132012,2.4e-06,7.25e-05,28497489.76
1.12e-05,0.000132012,2.4e-06,7.68e-05,31420489.92
1.12e-05,0.000132012,2.4e-06,8.11e-05,34124016.56
1.12e-05,0.000132012,2.4e-06,8.53e-05,36963135.81
1.12e-05,0.000132012,2.4e-06,8.96e-05,41603667.11
1.12e-05,0.000132012,2.666667e-06,3.84e-05,12791047.32
1.12e-05,0.000132012,2.666667e-06,4.27e-05,14253024.58
1.12e-05,0.000132012,2.666667e-06,4.69e-05,15487477.49
1.12e-05,0.000132012,2.666667e-06,5.12e-05,17447808.4
1.12e-05,0.000132012,2.666667e-06,5.55e-05,19585365.67
1.12e-05,0.000132012,2.666667e-06,5.97e-05,21492248.84
1.12e-05,0.000132012,2.666667e-06,6.4e-05,23204926.13
1.12e-05,0.000132012,2.666667e-06,6.83e-05,25774995.26
1.12e-05,0.000132012,2.666667e-06,7.25e-05,29061290.47
1.12e-05,0.000132012,2.666667e-06,7.68e-05,32084065.23
1.12e-05,0.000132012,2.666667e-06,8.11e-05,34877874.43
