PMOS_W,NMOS_W,Gain
3.5e-06,1e-06,20.13
4e-06,1e-06,20.12
4.5e-06,1e-06,19.77
3e-06,1e-06,19.68
5e-06,1e-06,19.17
2.5e-06,1e-06,18.65
5.5e-06,1e-06,18.33
6e-06,1e-06,17.22
2e-06,1e-06,16.88
6.5e-06,1e-06,15.64
7e-06,1e-06,13.45
7.5e-06,1e-06,10.86
1.5e-06,1e-06,8.635
8e-06,1e-06,8.272
8.5e-06,1e-06,6.07
9e-06,1e-06,4.197
9.5e-06,1e-06,2.61
1.05e-05,1e-06,1.55
1e-05,1e-06,1.252
1.1e-05,1e-06,0.4
1.15e-05,1e-06,-0.614
1.2e-05,1e-06,-1.518
1.25e-05,1e-06,-2.333
1e-06,1e-06,-2.365
1.3e-05,1e-06,-3.075
1.35e-05,1e-06,-3.755
1.4e-05,1e-06,-4.382
1.45e-05,1e-06,-4.965
1.5e-05,1e-06,-5.508
1.55e-05,1e-06,-6.017
1.6e-05,1e-06,-6.497
1.65e-05,1e-06,-6.95
1.7e-05,1e-06,-7.379
1.75e-05,1e-06,-7.787
1.8e-05,1e-06,-8.175
1.85e-05,1e-06,-8.546
1.9e-05,1e-06,-8.901
1.95e-05,1e-06,-9.242
2e-05,1e-06,-9.569
3.5e-06,1.5e-06,18.64
4e-06,1.5e-06,19.44
4.5e-06,1.5e-06,19.94
3e-06,1.5e-06,17.5
5e-06,1.5e-06,20.18
2.5e-06,1.5e-06,15.11
5.5e-06,1.5e-06,20.2
6e-06,1.5e-06,20.03
2e-06,1.5e-06,6.547
6.5e-06,1.5e-06,19.73
7e-06,1.5e-06,19.3
7.5e-06,1.5e-06,18.76
1.5e-06,1.5e-06,-1.144
8e-06,1.5e-06,18.1
8.5e-06,1.5e-06,17.28
9e-06,1.5e-06,16.24
9.5e-06,1.5e-06,14.89
1.05e-05,1.5e-06,13.93
1e-05,1.5e-06,13.25
1.1e-05,1.5e-06,12.19
1.15e-05,1.5e-06,10.39
1.2e-05,1.5e-06,8.618
1.25e-05,1.5e-06,7.074
1e-06,1.5e-06,-7.581
1.3e-05,1.5e-06,5.686
1.35e-05,1.5e-06,4.449
1.4e-05,1.5e-06,3.344
1.45e-05,1.5e-06,2.352
1.5e-05,1.5e-06,1.458
1.55e-05,1.5e-06,0.646
1.6e-05,1.5e-06,-0.0957
1.65e-05,1.5e-06,-0.778
1.7e-05,1.5e-06,-1.408
1.75e-05,1.5e-06,-1.994
1.8e-05,1.5e-06,-2.541
1.85e-05,1.5e-06,-3.054
1.9e-05,1.5e-06,-3.537
1.95e-05,1.5e-06,-3.992
2e-05,1.5e-06,-4.423
3.5e-06,2e-06,16.57
4e-06,2e-06,17.81
4.5e-06,2e-06,18.66
3e-06,2e-06,12.92
5e-06,2e-06,19.31
2.5e-06,2e-06,5.497
5.5e-06,2e-06,19.77
6e-06,2e-06,20.07
2e-06,2e-06,-0.404
6.5e-06,2e-06,20.22
7e-06,2e-06,20.24
7.5e-06,2e-06,20.14
1.5e-06,2e-06,-5.423
8e-06,2e-06,19.95
8.5e-06,2e-06,19.68
9e-06,2e-06,19.34
9.5e-06,2e-06,18.94
1.05e-05,2e-06,18.83
1e-05,2e-06,18.47
1.1e-05,2e-06,18.37
1.15e-05,2e-06,17.81
1.2e-05,2e-06,17.14
1.25e-05,2e-06,16.31
1e-06,2e-06,-10.71
1.3e-05,2e-06,15.3
1.35e-05,2e-06,14.11
1.4e-05,2e-06,12.78
1.45e-05,2e-06,11.39
1.5e-05,2e-06,10.01
1.55e-05,2e-06,8.63
1.6e-05,2e-06,7.421
1.65e-05,2e-06,6.307
1.7e-05,2e-06,5.286
1.75e-05,2e-06,4.351
1.8e-05,2e-06,3.495
1.85e-05,2e-06,2.709
1.9e-05,2e-06,1.984
1.95e-05,2e-06,1.313
2e-05,2e-06,0.69
3.5e-06,2.5e-06,10.92
4e-06,2.5e-06,15.52
4.5e-06,2.5e-06,17.1
3e-06,2.5e-06,4.849
5e-06,2.5e-06,17.97
2.5e-06,2.5e-06,0.0421
5.5e-06,2.5e-06,18.64
6e-06,2.5e-06,19.18
2e-06,2.5e-06,-4.088
6.5e-06,2.5e-06,19.59
7e-06,2.5e-06,19.9
7.5e-06,2.5e-06,20.1
1.5e-06,2.5e-06,-8.206
8e-06,2.5e-06,20.2
8.5e-06,2.5e-06,20.22
9e-06,2.5e-06,20.16
9.5e-06,2.5e-06,20.03
1.05e-05,2.5e-06,20.02
1e-05,2.5e-06,19.85
1.1e-05,2.5e-06,19.84
1.15e-05,2.5e-06,19.62
1.2e-05,2.5e-06,19.37
