a,b,c,d,gain
1.12e-05,0.000132012,2.4e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.4e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.4e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.4e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.4e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.4e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.4e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.4e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.4e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.4e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.4e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.4e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.4e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.4e-06,18.96686726,18.74271131
1.12e-05,0.000132012,2.4e-06,20.24461193,20.02248574
1.12e-05,0.000132012,2.4e-06,21.43788892,21.22020012
1.12e-05,0.000132012,2.4e-06,22.57100122,22.35505266
1.12e-05,0.000132012,2.4e-06,23.65639378,23.44379632
1.12e-05,0.000132012,2.4e-06,24.70851847,24.50001271
1.12e-05,0.000132012,2.4e-06,25.73700555,25.5331233
1.12e-05,0.000132012,2.4e-06,26.75686055,26.55894874
1.12e-05,0.000132012,2.4e-06,27.77386623,27.58264294
1.12e-05,0.000132012,2.4e-06,28.7995299,28.6161588
1.12e-05,0.000132012,2.4e-06,29.84458384,29.67052875
1.12e-05,0.000132012,2.4e-06,30.92025109,30.75757341
1.12e-05,0.000132012,2.4e-06,32.0380633,31.88821031
1.12e-05,0.000132012,2.666667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.666667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.666667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.666667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.666667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.666667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.666667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.666667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.666667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.666667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.666667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.666667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.666667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.666667e-06,18.35747708,18.18987234
1.12e-05,0.000132012,2.666667e-06,19.64060375,19.47429844
1.12e-05,0.000132012,2.666667e-06,20.84370336,20.68008462
1.12e-05,0.000132012,2.666667e-06,21.98427639,21.82318594
1.12e-05,0.000132012,2.666667e-06,23.07941424,22.92128225
1.12e-05,0.000132012,2.666667e-06,24.14302613,23.98826107
1.12e-05,0.000132012,2.666667e-06,25.18445379,25.03347855
1.12e-05,0.000132012,2.666667e-06,26.22096655,26.07479507
1.12e-05,0.000132012,2.666667e-06,27.25660611,27.11580812
1.12e-05,0.000132012,2.666667e-06,28.30407643,28.1695174
1.12e-05,0.000132012,2.666667e-06,29.37498555,29.24781415
1.12e-05,0.000132012,2.666667e-06,30.48239733,30.36415924
1.12e-05,0.000132012,2.666667e-06,31.63618023,31.52881615
1.12e-05,0.000132012,2.933333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.933333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.933333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.933333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.933333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.933333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.933333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.933333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.933333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.933333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.933333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.933333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.933333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.933333e-06,17.89325756,17.76095481
1.12e-05,0.000132012,2.933333e-06,19.18265241,19.05193227
1.12e-05,0.000132012,2.933333e-06,20.39080061,20.26188036
1.12e-05,0.000132012,2.933333e-06,21.53854439,21.41177207
1.12e-05,0.000132012,2.933333e-06,22.64205189,22.51776927
1.12e-05,0.000132012,2.933333e-06,23.71521667,23.59378747
1.12e-05,0.000132012,2.933333e-06,24.76744439,24.64928228
1.12e-05,0.000132012,2.933333e-06,25.81745874,25.70324651
1.12e-05,0.000132012,2.933333e-06,26.86823721,26.75848341
1.12e-05,0.000132012,2.933333e-06,27.93320634,27.82855446
1.12e-05,0.000132012,2.933333e-06,29.02482317,28.92620161
1.12e-05,0.000132012,2.933333e-06,30.1573431,30.06607045
1.12e-05,0.000132012,2.933333e-06,31.3531192,31.27231444
1.12e-05,0.000132012,3.2e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.2e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.2e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.2e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.2e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.2e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.2e-06,6.4e-05,6.4e-05
