a,b,c,d,pm
1.12e-05,0.000132012,2.4e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.4e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.4e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.4e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.4e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.4e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.4e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.4e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.4e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.4e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.4e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.4e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.4e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.4e-06,86.36862725,87.25892675
1.12e-05,0.000132012,2.4e-06,87.62195541,88.48425649
1.12e-05,0.000132012,2.4e-06,88.78968131,89.62407255
1.12e-05,0.000132012,2.4e-06,90.09829297,90.90816184
1.12e-05,0.000132012,2.4e-06,91.32661872,92.11969459
1.12e-05,0.000132012,2.4e-06,92.40512871,93.18546752
1.12e-05,0.000132012,2.4e-06,93.3677888,94.13902737
1.12e-05,0.000132012,2.4e-06,94.07332399,94.7999845
1.12e-05,0.000132012,2.4e-06,94.33744349,95.02511744
1.12e-05,0.000132012,2.4e-06,94.36957148,95.01821047
1.12e-05,0.000132012,2.4e-06,94.19224171,94.80062339
1.12e-05,0.000132012,2.4e-06,93.70453724,94.09516189
1.12e-05,0.000132012,2.4e-06,92.18874543,92.45045759
1.12e-05,0.000132012,2.666667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.666667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.666667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.666667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.666667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.666667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.666667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.666667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.666667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.666667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.666667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.666667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.666667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.666667e-06,88.75406112,89.39112895
1.12e-05,0.000132012,2.666667e-06,89.93456528,90.55357864
1.12e-05,0.000132012,2.666667e-06,91.03439531,91.6362495
1.12e-05,0.000132012,2.666667e-06,92.27173687,92.85395311
1.12e-05,0.000132012,2.666667e-06,93.45728779,94.02943148
1.12e-05,0.000132012,2.666667e-06,94.50429522,95.06946191
1.12e-05,0.000132012,2.666667e-06,95.44508946,96.00577449
1.12e-05,0.000132012,2.666667e-06,96.03102689,96.56006019
1.12e-05,0.000132012,2.666667e-06,96.19394027,96.69777131
1.12e-05,0.000132012,2.666667e-06,96.12415433,96.6022974
1.12e-05,0.000132012,2.666667e-06,95.84085376,96.29179547
1.12e-05,0.000132012,2.666667e-06,94.72915124,94.9915392
1.12e-05,0.000132012,2.666667e-06,92.85888036,93.02055345
1.12e-05,0.000132012,2.933333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.933333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.933333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.933333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.933333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.933333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.933333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.933333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.933333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.933333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.933333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.933333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.933333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.933333e-06,90.49933619,90.98595838
1.12e-05,0.000132012,2.933333e-06,91.62569989,92.09824196
1.12e-05,0.000132012,2.933333e-06,92.68448998,93.1452947
1.12e-05,0.000132012,2.933333e-06,93.86828396,94.31429418
1.12e-05,0.000132012,2.933333e-06,95.02784605,95.46751512
1.12e-05,0.000132012,2.933333e-06,96.05723285,96.49284245
1.12e-05,0.000132012,2.933333e-06,96.98710578,97.42043047
1.12e-05,0.000132012,2.933333e-06,97.48730048,97.89738867
1.12e-05,0.000132012,2.933333e-06,97.58315739,97.9757015
1.12e-05,0.000132012,2.933333e-06,97.44473166,97.81916267
1.12e-05,0.000132012,2.933333e-06,97.08820895,97.44300433
1.12e-05,0.000132012,2.933333e-06,95.43631928,95.62691926
1.12e-05,0.000132012,2.933333e-06,93.25738442,93.36245438
1.12e-05,0.000132012,3.2e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.2e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.2e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.2e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.2e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.2e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.2e-06,6.4e-05,6.4e-05
