a,b,c,d,ugf
1.12e-05,0.000132012,2.4e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.4e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.4e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.4e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.4e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.4e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.4e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.4e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.4e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.4e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.4e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.4e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.4e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.4e-06,12930777.43,12859450.19
1.12e-05,0.000132012,2.4e-06,14343496.06,14297892.05
1.12e-05,0.000132012,2.4e-06,15536351.64,15512936.51
1.12e-05,0.000132012,2.4e-06,17481919.76,17467633.46
1.12e-05,0.000132012,2.4e-06,19550530.79,19572012.89
1.12e-05,0.000132012,2.4e-06,21397590.88,21450191.54
1.12e-05,0.000132012,2.4e-06,23058497.92,23138031.94
1.12e-05,0.000132012,2.4e-06,25321909.41,25564812.56
1.12e-05,0.000132012,2.4e-06,28497489.76,28797869.38
1.12e-05,0.000132012,2.4e-06,31420489.92,31772708.13
1.12e-05,0.000132012,2.4e-06,34124016.56,34523171.51
1.12e-05,0.000132012,2.4e-06,36963135.81,37849177.87
1.12e-05,0.000132012,2.4e-06,41603667.11,42558855.66
1.12e-05,0.000132012,2.666667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.666667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.666667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.666667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.666667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.666667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.666667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.666667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.666667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.666667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.666667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.666667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.666667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.666667e-06,12725609.72,12663086.1
1.12e-05,0.000132012,2.666667e-06,14209209.47,14166606.72
1.12e-05,0.000132012,2.666667e-06,15461767.88,15436184.13
1.12e-05,0.000132012,2.666667e-06,17424361.91,17398617.08
1.12e-05,0.000132012,2.666667e-06,19592777.43,19595808.4
1.12e-05,0.000132012,2.666667e-06,21526289.27,21554142.0
1.12e-05,0.000132012,2.666667e-06,23262011.09,23311358.52
1.12e-05,0.000132012,2.666667e-06,25959288.41,26122745.61
1.12e-05,0.000132012,2.666667e-06,29295126.55,29504874.03
1.12e-05,0.000132012,2.666667e-06,32362432.58,32613711.76
1.12e-05,0.000132012,2.666667e-06,35196461.3,35485210.94
1.12e-05,0.000132012,2.666667e-06,39354449.19,40004078.78
1.12e-05,0.000132012,2.666667e-06,44190465.19,44898833.58
1.12e-05,0.000132012,2.933333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,2.933333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,2.933333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,2.933333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,2.933333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,2.933333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,2.933333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,2.933333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,2.933333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,2.933333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,2.933333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,2.933333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,2.933333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,2.933333e-06,12546347.58,12491865.25
1.12e-05,0.000132012,2.933333e-06,14088324.94,14050673.51
1.12e-05,0.000132012,2.933333e-06,15386282.26,15362216.92
1.12e-05,0.000132012,2.933333e-06,17343612.64,17315416.04
1.12e-05,0.000132012,2.933333e-06,19592962.94,19588546.51
1.12e-05,0.000132012,2.933333e-06,21596352.36,21612499.24
1.12e-05,0.000132012,2.933333e-06,23392657.51,23426691.37
1.12e-05,0.000132012,2.933333e-06,26401544.92,26522121.98
1.12e-05,0.000132012,2.933333e-06,29867903.18,30026987.81
1.12e-05,0.000132012,2.933333e-06,33052097.27,33245529.22
1.12e-05,0.000132012,2.933333e-06,35991486.0,36215821.72
1.12e-05,0.000132012,2.933333e-06,41150375.31,41661408.55
1.12e-05,0.000132012,2.933333e-06,46177294.78,46741369.03
1.12e-05,0.000132012,3.2e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.2e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.2e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.2e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.2e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.2e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.2e-06,6.4e-05,6.4e-05
